HouseDescription,Address
"
                                                For Sale: 6M 4 Bedroom House and Lot in BF Resort Village, Las Pinas City
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                2bedroom townhouse in Cavite
                    ","
                                
                                                                    Bacoor
                                                            "
"
                                                house and lot at Landheights
                    ","
                                
                                                                    Iloilo
                                                            "
"
                                                House and Lot Imus Gen Trias Cavite 4BR 3T&B
                    ","
                                
                                                                    General Trias
                                                            "
"
                                                Janeville Townhouse
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Beautiful Beachfront Property
                    ","
                                
                                                                    Bobon
                                                            "
"
                                                Elegant Spacious and Affordable House and Lot For Sale Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Briana - Affordable 4 Bedroom Single-Attached House
                    ","
                                
                                                                    Imus
                                                            "
"
                                                House For Sale At Mabiga, Mabalacat, Pampanga
                    ","
                                
                                                                    Mabalacat
                                                            "
"
                                                Zentype House and Lot in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Candice - Affordable 4 Bedroom Single Attached House
                    ","
                                
                                                                    Imus
                                                            "
"
                                                Beachfront Native Cottage
                    ","
                                
                                                                    Bobon
                                                            "
"
                                                Price Reduced! Luxury Residential Villa on Boracay
                    ","
                                
                                                                    Malay
                                                            "
"
                                                House and lot for Sale Tanza Cavite near Mall of Asia
                    ","
                                
                                                                    Tanza
                                                            "
"
                                                Brandnew 3 Storey Townhouse in Zobel Roxas
                    ","
                                
                                                                    Manila
                                                            "
"
                                                Ready for Occupancy house and lot near SM San Mateo and Quezon City
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Two-storey House and Lot Narra Park Residences
                    ","
                                
                                                                    Davao
                                                            "
"
                                                5% Down House and Lot Lancaster Cavite. LIPAT AGAD!
                    ","
                                
                                                                    Imus
                                                            "
"
                                                house for sale in mabiga mabalacat pampanga
                    ","
                                
                                                                    Mabalacat
                                                            "
"
                                                BRAND NEW TRIPLEX HOUSE AND LOT NEAR BF RESORT LAS PINAS
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Newly Single Attached In Las Pinas
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                2 Storey House and Lot for sale in Tandang Sora Quezon City 9.9M
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Brand new Zen type House and lot for sale in Better living Paranaque
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                BrandNew Townhouse In Gatchalian Las Pinas
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                3 Storey House & Lot - Income Generating
                    ","
                                
                                                                    Baguio
                                                            "
"
                                                For sale Elegant Townhouse in Visayas Ave Quezon City 5.950M
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Townhouse in Marcos Alvares
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Easy to own Ready for Occupancy Townhouse
                    ","
                                
                                                                    Naga
                                                            "
"
                                                Brand New Townhouse in Zapote Las Pinas
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                3 Bedroom, RFO  Townhouse For Sale in KINGSPOINT QC
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                RENT TO OWN LILIES VILLETownhouse Unit FOR SALE in Caloocan City
                    ","
                                
                                                                    Caloocan
                                                            "
"
                                                East Fairview House and Lot For Sale- DUNHILL RESIDENCES
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                FIONA Model PRIVADA HOMES 3BR Townhouse Unit For Sale Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                2 Bedroom Bungalow For Sale In Barangay XII, Victorias City
                    ","
                                
                                                                    Victorias
                                                            "
"
                                                3-Bedroom House&Lot In Calumangan, Bago City, Neg. Occ.
                    ","
                                
                                                                    Bago
                                                            "
"
                                                AVAIL 10% DP ELEGANT TOWNHOUSE IN VISAYAS AVENUE QUEZON CITY
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                RFO 3BR Townhouse at RIYAL VILLAS North Fairview For P2.7M
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3BR DUPLEX Customized Unit For Sale North Olympus Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Pre-selling Townhouse Unit Montville Place FOR SALE for P8.4M Only
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                MANILA PHILIPPINES TOWNHOUSE - PRINCESS HOMES, QUEZON CITY
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                RENT TO OWN 3 Bedroom  Townhouse For Sale LILIES VILLE
                    ","
                                
                                                                    Caloocan
                                                            "
"
                                                Unit J 4 Bedroom Townhouse For Sale at CARNATION ROYALE West Fairview
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Bedroom, Townhouse For Sale in North Fairview, QC -Butler TH
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                P3.3M Model- Nathan Townhouse For Sale in Sauyo QC
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                House and Lot For Sale, East Fairview Quezon City, PALLMALL VILLAS
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Bedroom P4.15M House and Lot For Sale at Dunhill, East Fairview
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3-Bedroom Townhouse in Tanauan Batangas
                    ","
                                
                                                                    Tanauan
                                                            "
"
                                                Ready for occupancy in Brittany Portofino
                    ","
                                
                                                                    Muntinlupa
                                                            "
"
                                                CHESTNUT RESIDENCES 2 House & Lot For Sale West Fairview
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                P4.7M+ Customized Design House for sale in Sunnyside Heights Subdivision
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                P4.6M RFO Brand new Modern Townhouse for sale in Neopolitan Phase 3
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Bedroom House and Lot For Sale at Carmel Townhomes, South Fairview
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Bedroom (RENT TO OWN) West Fairview- MAPLE VILLAS
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                P4M Pre-selling 3BR Townhouse Unit FOR SALE at Chesnut Residences
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Elegant House Filinvest 2 Barangay Batasan Hills Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Talamban House for Sale Pre-selling
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Beautiful and Affordable House and Lot in Batasan Hills, Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Inexpensive Classy Townhouse for sale in Don Antonio Q.C area
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Bf Resort Village Las Pinas City HOUSE AND LOT FOR SALE
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                2 Bedrooms Single Attached For Sale Sta Maria Bulacan Primeville
                    ","
                                
                                                                    Santa Maria
                                                            "
"
                                                Pre- selling House & Lot in Summer Hills Executive Vill. Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                La Posada Brittany Homes Sucat
                    ","
                                
                                                                    Muntinlupa
                                                            "
"
                                                3 BR House and Lot in Batangas
                    ","
                                
                                                                    Santo Tomas
                                                            "
"
                                                Duplex-type House & lot in Baguio City, Summer capital
                    ","
                                
                                                                    Baguio
                                                            "
"
                                                affordable house and lot package in baguio,benguet
                    ","
                                
                                                                    Baguio
                                                            "
"
                                                FOR SALE READY FOR OCCUPANCY HOUSE WITH 3 BEDROOM PLUS PARKING IN CCEB
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Pacific Grand Villas (Townhouses) - Marigondon, Lapulapu
                    ","
                                
                                                                    Lapu-Lapu
                                                            "
"
                                                READY TO MOVE-IN HOUSE FOR SALE WITH 3 BEDROOM PLUS 2 PARKING
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                new 2 storey house for sale in damosa fairlane
                    ","
                                
                                                                    Davao
                                                            "
"
                                                house and lot Las Pinas near gatchalian 100k discount 15% DP MOVE IN
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Prime House and Lot west Fairview Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Rent to Own Townhouse in Pasay 3bedrooms Ready for Occupancy near EDSA
                    ","
                                
                                                                    Pasay
                                                            "
"
                                                Ready To Move Brandnew Townhouse in Kamias
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                PORTOFINO HOUSE AND LOT IN ALABANG DAANG HARI
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                townhouse in greenlane laspinas ready for occupancy
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                3 Bedrooms Townhouse in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Metro Manila Hills : Victoria Villas
                    ","
                                
                                                                    Rodriguez
                                                            "
"
                                                House and Lot in GMA, Cavite near Alabang and Makati
                    ","
                                
                                                                    General Mariano Alvarez
                                                            "
"
                                                Townhouse Ready To Move 4Storey For Sale in Mandaluyong
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                Sampaloc Manila Brandnew Townhouse 1 car garage near G.Tuazon
                    ","
                                
                                                                    Manila
                                                            "
"
                                                2 bedrooms Ready for Occupancy House in antipolo city
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Brand new House and Lot for Sale in Taytay Rizal
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                Brand new House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Brand new standard Finished House and Lot for Sale in Taytay Rizal
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                Ready for Occupancy House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Ready for Occupancy House and Lot for Sale in Cainta Rizal
                    ","
                                
                                                                    Cainta
                                                            "
"
                                                Elegant House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                4 Bedroom House and Lot in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                townhouse in Commonwealth Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Brand new House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Ready For Occupancy Townhouse
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Elegant Townhouse for sale in Don Antonio Commonwealth Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Townhouse for Sale in AMpid near QC with 10 percent dp only
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                HOUSE & LOT for SALE in PASIG CITY
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Townhouse for sale in Don Antonio Commonwealth Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Townhouse Ready for Occupancy
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Elegant Townhouse in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Ready for Occupancy House and Lot
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Specious Townhouse in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                10 Percent DP only Ready for Occupancy Commercial-Residential 3BR House for Sale
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Ready For Occupancy Finished House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Elegant House and Lot in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Single Detached House and Lot
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                House and lot for Sale in Batasan QC Near the HWay
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                For sale : Brand New. 2 Storey Corner Lot House in BF Homes
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Ready for Occupancy as Low as 17,211 mo.at Paranaque City
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Townhouse for Ready Occupancy Located at UPS 5 Paranaque City
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                ZAPOTE LAS PINAS 3br2tb1car garage thru PAG IBIG LOAN
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Ready for Occupancy New House and Lot in South of Cebu, 1 Unit Left!
                    ","
                                
                                                                    Minglanilla
                                                            "
"
                                                Affordable Townhouse for Sale in San Mateo thru Pag ibig
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                3 bedrooms 2 toiles 1 car space
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Brand New House and Lot Marikina Area Rancho Concepcion
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Modern 3 Storey TownHouse for Sale in Marikina Heights, Marikina City
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                House and Lot for sale in Marikina City
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Single House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                10 percent dp only Townhouse for Sale in Ampid near Hway and SM
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Duplex House for sale near batasan and marikina
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Ready for Occupancy Townhouse as Low as 16,932mo.Located at Paranaque City
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                house and lot for sale lipa batangas 4BR 3T&B 2 storey sycamore
                    ","
                                
                                                                    Lipa
                                                            "
"
                                                Newly renovated House and Lot Capitol Park Homes Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Townhouse for sale at Ponte Verde Marikina city
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                3 bedrooms single detached in pilar las pinas
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                3 Bedroom Single Detached House in Talisay City, Cebu
                    ","
                                
                                                                    Talisay
                                                            "
"
                                                3 BR, 2 T&B, House and Lot Package For Sale! Near Nuvali and DLSU-STC.
                    ","
                                
                                                                    Biñan
                                                            "
"
                                                Resale house in Briza Consolacion Cebu
                    ","
                                
                                                                    Consolacion
                                                            "
"
                                                For Sale Townhouse in Makati 4-Storey Ready For Occupancy Front Unit
                    ","
                                
                                                                    Makati
                                                            "
"
                                                3 Bedroom Townhouse for sale in East Fairview Commonwealth Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                For Sale Townhouse in Quezon City RFO Unit near Congressional Road 20
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Storey Townhouse near West Avenue and Del Monte Quezon City 6.006M
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3-bedroom, 3-floor brand new house at Meadowoood Exec. Village, Bacoor
                    ","
                                
                                                                    Bacoor
                                                            "
"
                                                pasig house with swimming pool 13.6 Million
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                House for sale at Talamban, Cebu city near Gaisano Talamban
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                House & lot for sale!  Westfield subd iponan Clean title
                    ","
                                
                                                                    Cagayan de Oro
                                                            "
"
                                                5 bedroom greenwoods house 8.7 Million
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Modern Corner lot house pasig 14.5 million 3 car garage
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Thea Model Townhouse in Lancaster New City Cavite
                    ","
                                
                                                                    Imus
                                                            "
"
                                                House and Lot at BF Homes Brgy. Holy Spirit Quezon City Don Antonio
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Brandnew 3Storey Town House near Kalentong
                    ","
                                
                                                                    Manila
                                                            "
"
                                                7Units 3Storey Town Homes in Sta Ana near Taft Avenue
                    ","
                                
                                                                    Manila
                                                            "
"
                                                Resale fully furnished house in Minglanilla Cebu
                    ","
                                
                                                                    Minglanilla
                                                            "
"
                                                99SQM  Townhouse for sale in Batasan Hills nr Commonwealth Quezon CitY
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Andrea Four bedrooms family home for sale
                    ","
                                
                                                                    Lipa
                                                            "
"
                                                Townhouse for Sale in Bria La Hacienda Teresa, Rizal - Angelique Model
                    ","
                                
                                                                    Teresa
                                                            "
"
                                                ready to occupy house and lot in las pinas city
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Bungalow house and Lot in Bf Resort Village Las Pinas City
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Two Storey House for Sale in Angeles City!
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                CUBAO 4-STOREY TOWNHOUSE FOR SALE!!!
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Corner Two Storey House with Pool at Angeles City!
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                3 bedrooms townhouse in Paranaque Subdivision
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Two Storey House near Marquee Mall Angeles City
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                BRAND NEW HOUSE AND LOT FOR SALE IN COMMONWEALTH QUEZON CITY
                    ","
                                
                                                                    Quezon City
                                                            "
