PropertyDescription,Address,Sqm
For Sale Residential 207 sqm. ,"Cagayan de Oro, Misamis Oriental","₱ 9,000/sqm"
For Sale Residential 753 sqm. ,"Tanauan, Batangas","₱ 20,000/sqm"
"For Sale Others 5,221 sqm. ","Gumaca, Quezon",₱ 86/sqm
For Sale Residential 705 sqm. ,"Calamba, Laguna","₱ 11,000/sqm"
For Sale Residential 396 sqm. ,"Cagayan de Oro, Misamis Oriental","₱ 24,138/sqm"
For Sale Residential 113 sqm. ,"Consolacion, Cebu","₱ 16,000/sqm"
For Sale Residential 310 sqm. ,"Clark, Capas, Tarlac","₱ 13,441/sqm"
"For Sale Commercial 1,172 sqm. ","San Jose del Monte, Bulacan","₱ 25,000/sqm"
For Sale Residential 164 sqm. ,"Angono, Rizal","₱ 17,000/sqm"
For Sale Residential 271 sqm. ,"Tagaytay, Cavite","₱ 15,100/sqm"
For Sale Residential 304 sqm. ,"Alabang, Muntinlupa, Metro Manila","₱ 62,693/sqm"
For Sale Residential 250 sqm. ,"Trece Martires, Cavite","₱ 16,800/sqm"
"For Sale Raw Land 157,513 sqm. ","Muñoz, Nueva Ecija","₱ 1,500/sqm"
For Sale Residential 278 sqm. ,"Silang, Cavite","₱ 30,000/sqm"
For Sale Residential 350 sqm. ,"Angono, Rizal","₱ 19,428/sqm"
"For Sale Raw Land 210,000 sqm. ","Calatagan, Batangas","₱ 1,500/sqm"
"For Sale Commercial 33,254 sqm. ","San Ildefonso, Bulacan","₱ 9,000/sqm"
For Sale Residential 250 sqm. ,"San Juan, Batangas","₱ 18,368/sqm"
For Sale Residential 464 sqm. ,"Taguig, Metro Manila","₱ 268,000/sqm"
For Sale Commercial 400 sqm. ,"Baliuag, Bulacan","₱ 16,250/sqm"
For Sale Commercial 400 sqm. ,"Baliuag, Bulacan","₱ 16,250/sqm"
For Sale Residential 120 sqm. ,"Pililla, Rizal","₱ 9,000/sqm"
"For Sale Residential Farm 4,000 sqm. ","Magarao, Camarines Sur","₱ 2,500/sqm"
For Sale Residential 80 sqm. ,"Medellin, Cebu","₱ 5,200/sqm"
"For Sale Agricultural Farm 3,900,000 sqm. ","San Carlos, Negros Occidental","₱ 1,500/sqm"
For Sale Residential 841 sqm. ,"Taytay, Rizal","₱ 66,587/sqm"
For Sale Commercial 100 sqm. ,"Santa Maria, Bulacan","₱ 6,600/sqm"
For Sale Residential 100 sqm. ,"Silang, Cavite","₱ 18,500/sqm"
"For Sale Commercial 2,320 sqm. ","Binangonan, Rizal","₱ 18,000/sqm"
For Sale Residential 225 sqm. ,"Laoag, Ilocos Norte","₱ 8,622/sqm"
For Sale Residential 204 sqm. ,"Nasugbu, Batangas","₱ 21,122/sqm"
For Sale Residential 240 sqm. ,"Biñan, Laguna","₱ 28,750/sqm"
For Sale Residential 493 sqm. ,"Iba, Zambales","₱ 8,519/sqm"
For Sale Residential 461 sqm. ,"Liloan, Cebu","₱ 7,500/sqm"
For Sale Residential 217 sqm. ,"Santa Rosa, Laguna","₱ 12,000/sqm"
For Sale Residential 290 sqm. ,"Silang, Cavite","₱ 39,950/sqm"
For Sale Residential 537 sqm. ,"Adams, Ilocos Norte","₱ 12,225/sqm"
For Sale Residential Farm 154 sqm. ,"Tanay, Rizal","₱ 9,740/sqm"
For Sale Residential Farm 100 sqm. ,"Quezon City / QC, Metro Manila","₱ 4,500/sqm"
"For Sale Residential 1,619 sqm. ","Antipolo, Rizal","₱ 20,000/sqm"
"For Sale Residential 2,121 sqm. ","Malolos, Bulacan","₱ 8,000/sqm"
For Sale Residential 285 sqm. ,"Manila, Metro Manila","₱ 90,972/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,798/sqm"
"For Sale Agricultural Farm 7,392 sqm. ","Del Carmen, Surigao del Norte",₱ 676/sqm
"For Sale Residential 1,619 sqm. ","Antipolo, Rizal","₱ 20,000/sqm"
"For Sale Residential 2,121 sqm. ","Malolos, Bulacan","₱ 8,000/sqm"
For Sale Residential 285 sqm. ,"Manila, Metro Manila","₱ 90,972/sqm"
For Sale Residential 168 sqm. ,"Marilao, Bulacan","₱ 12,000/sqm"
"For Sale Agricultural Farm 23,627 sqm. ","San Leonardo, Nueva Ecija",₱ 400/sqm
"For Sale Residential 1,670 sqm. ","Antipolo, Rizal","₱ 9,880/sqm"
"For Sale Agricultural Farm 20,000 sqm. ","New Clark City, Capas, Tarlac","₱ 2,500/sqm"
"For Sale Residential Farm 4,000 sqm. ","Villasis, Pangasinan","₱ 1,000/sqm"
"For Sale Residential Farm 1,000 sqm. ","Villanueva, Misamis Oriental","₱ 2,500/sqm"
For Sale Residential 335 sqm. ,"Santa Rosa, Laguna","₱ 33,430/sqm"
"For Sale Residential Farm 4,750 sqm. ","Indang, Cavite",₱ 294/sqm
"For Sale Residential 2,500 sqm. ","Angeles, Pampanga","₱ 1,200/sqm"
For Sale Residential 380 sqm. ,"Nasugbu, Batangas","₱ 14,000/sqm"
"For Sale Residential Farm 3,618 sqm. ","Tagaytay, Cavite","₱ 8,000/sqm"
For Sale Residential Farm 987 sqm. ,"Silang, Cavite","₱ 11,000/sqm"
"For Sale Residential Farm 2,008 sqm. ","Angat, Bulacan","₱ 2,500/sqm"
For Sale Residential 838 sqm. ,"Alaminos, Pangasinan","₱ 4,773/sqm"
For Sale Residential Farm 100 sqm. ,"San Juan, Batangas","₱ 10,000/sqm"
"For Sale Residential 300,500 sqm. ","Laguindingan, Misamis Oriental",₱ 5/sqm
"For Sale Others 50,000 sqm. ","Peñaranda, Nueva Ecija",₱ 600/sqm
For Sale Commercial 100 sqm. ,"Lipa, Batangas","₱ 9,000/sqm"
"For Sale Agro-Industrial Farm 270,443 sqm. ","San Ildefonso, Bulacan",₱ 380/sqm
"For Sale Agro-Industrial Farm 2,534 sqm. ","Tagbilaran, Bohol","₱ 1,700/sqm"
"For Sale Agro-Industrial Farm 10,750 sqm. ","San Miguel, Bulacan",₱ 446/sqm
For Sale Memorial Lot 26 sqm. ,"Guagua, Pampanga","₱ 2,307/sqm"
For Sale Residential Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 3,200/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 4,500/sqm"
For Sale Residential 252 sqm. ,"Dagupan, Pangasinan","₱ 13,440/sqm"
For Sale Residential 110 sqm. ,"Laoag, Ilocos Norte","₱ 34,336/sqm"
"For Sale Residential Farm 6,623 sqm. ","San Carlos, Negros Occidental","₱ 2,500/sqm"
For Sale Residential 80 sqm. ,"Alaminos, Pangasinan","₱ 2,500/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 7,300/sqm"
"For Sale Residential Farm 2,100 sqm. ","Santa Monica (Sapao), Surigao del Norte","₱ 5,714/sqm"
For Sale Residential 184 sqm. ,"Batangas City, Batangas","₱ 4,510/sqm"
For Sale Residential 80 sqm. ,"Borbon, Cebu","₱ 2,999/sqm"
"For Sale Residential Farm 30,243 sqm. ","Lumban, Laguna",₱ 699/sqm
"For Sale Residential 1,000 sqm. ","Villasis, Pangasinan","₱ 6,800/sqm"
"For Sale Agricultural Farm 40,007 sqm. ","Malaybalay, Bukidnon",₱ 499/sqm
For Sale Residential 64 sqm. ,"Indang, Cavite","₱ 3,185/sqm"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite","₱ 2,200/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 6,500/sqm"
For Sale Residential 112 sqm. ,"Guiguinto, Bulacan","₱ 15,000/sqm"
For Sale Residential 180 sqm. ,"Plaridel, Bulacan","₱ 10,000/sqm"
For Sale Residential 325 sqm. ,"Tagaytay, Cavite","₱ 9,000/sqm"
For Sale Raw Land 100 sqm. ,"Medellin, Cebu","₱ 2,500/sqm"
For Sale Residential Farm 327 sqm. ,"Las Piñas, Metro Manila","₱ 89,446/sqm"
For Sale Commercial 785 sqm. ,"Lubao, Pampanga","₱ 19,108/sqm"
For Sale Residential Farm 327 sqm. ,"Las Piñas, Metro Manila","₱ 89,446/sqm"
For Sale Commercial 785 sqm. ,"Lubao, Pampanga","₱ 19,108/sqm"
For Sale Raw Land 173 sqm. ,"Cagayan de Oro, Misamis Oriental","₱ 11,213/sqm"
For Sale Residential 329 sqm. ,"San Pablo, Laguna","₱ 8,584/sqm"
For Sale Residential 100 sqm. ,"Baclayon, Bohol","₱ 5,450/sqm"
"For Sale Agricultural Farm 36,406 sqm. ","Sapian, Capiz",₱ 375/sqm
For Sale Residential 160 sqm. ,"La Trinidad, Benguet","₱ 15,000/sqm"
For Sale Residential 50 sqm. ,"Santa Maria, Bulacan","₱ 10,000/sqm"
For Sale Residential 50 sqm. ,"Pililla, Rizal","₱ 5,500/sqm"
For Sale Residential 125 sqm. ,"Silang, Cavite","₱ 15,000/sqm"
For Sale Residential 942 sqm. ,"Santa Ignacia, Tarlac",₱ 600/sqm
For Sale Residential 85 sqm. ,"Trece Martires, Cavite","₱ 4,117/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Magallanes, Cavite","₱ 2,200/sqm"
"For Sale Agricultural Farm 105,072 sqm. ","Gandara, Samar",₱ 38/sqm
For Sale Residential 408 sqm. ,"Tagaytay, Cavite","₱ 62,980/sqm"
For Sale Residential 120 sqm. ,"Dasmariñas, Cavite","₱ 8,000/sqm"
"For Sale Residential Farm 10,000 sqm. ","Floridablanca, Pampanga","₱ 2,600/sqm"
For Sale Residential 125 sqm. ,"Nuvali, Calamba, Laguna","₱ 28,000/sqm"
"For Sale Others 59,606 sqm. ","Impasugong, Bukidnon","₱ 1,593/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Lian, Batangas",₱ 500/sqm
For Sale Residential 250 sqm. ,"Silang, Cavite","₱ 7,000/sqm"
"For Sale Agricultural Farm 40,000 sqm. ","Koronadal, South Cotabato",₱ 150/sqm
For Sale Residential 120 sqm. ,"Loon, Bohol","₱ 7,000/sqm"
For Sale Agricultural Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 2,700/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 2,600/sqm"
"For Sale Residential Farm 30,000 sqm. ","San Miguel, Bulacan","₱ 2,166/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Claveria, Misamis Oriental","₱ 1,200/sqm"
"For Sale Residential Farm 30,000 sqm. ","San Fernando, Pampanga","₱ 2,500/sqm"
For Sale Residential 318 sqm. ,"San Juan, Batangas","₱ 28,459/sqm"
"For Sale Residential Farm 2,043 sqm. ","Baybay, Leyte","₱ 5,000/sqm"
For Sale Agricultural Farm 500 sqm. ,"Lian, Batangas","₱ 3,500/sqm"
"For Sale Agricultural Farm 36,406 sqm. ","Sapian, Capiz",₱ 375/sqm
For Sale Residential 130 sqm. ,"Silang, Cavite","₱ 8,500/sqm"
"For Sale Residential Farm 10,000 sqm. ","Floridablanca, Pampanga","₱ 2,600/sqm"
"For Sale Others 274,237 sqm. ","Calbayog, Samar",₱ 299/sqm
For Sale Residential 80 sqm. ,"General Trias, Cavite","₱ 17,125/sqm"
For Sale Residential 120 sqm. ,"Pililla, Rizal","₱ 8,500/sqm"
For Sale Residential 290 sqm. ,"Santa Rosa, Laguna","₱ 30,810/sqm"
For Sale Agricultural Farm 500 sqm. ,"Tanay, Rizal","₱ 4,950/sqm"
"For Sale Residential Farm 1,000 sqm. ","Badian, Cebu","₱ 1,400/sqm"
For Sale Memorial Lot 2 sqm. ,"Antipolo, Rizal","₱ 45,000/sqm"
For Sale Residential 150 sqm. ,"Baras, Rizal","₱ 8,930/sqm"
For Sale Residential Farm 194 sqm. ,"San Mateo, Rizal","₱ 22,000/sqm"
For Sale Residential 129 sqm. ,"Calamba, Laguna","₱ 9,302/sqm"
For Sale Residential 292 sqm. ,"Mandaue, Cebu","₱ 18,509/sqm"
For Sale Residential 214 sqm. ,"Compostela, Cebu","₱ 12,802/sqm"
For Sale Residential 150 sqm. ,"Compostela, Cebu","₱ 10,500/sqm"
For Sale Residential 503 sqm. ,"Balamban, Cebu","₱ 13,524/sqm"
For Sale Residential 240 sqm. ,"Silang, Cavite","₱ 28,750/sqm"
For Sale Residential 50 sqm. ,"San Fernando, Cebu","₱ 4,888/sqm"
For Sale Residential 264 sqm. ,"Batangas City, Batangas","₱ 49,621/sqm"
"For Sale Agricultural Farm 47,317 sqm. ","Rosales, Pangasinan","₱ 2,007/sqm"
For Sale Agricultural Farm 453 sqm. ,"Trece Martires, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 100,000 sqm. ","Santa Cruz, Zambales",₱ 105/sqm
"For Sale Agricultural Farm 39,000 sqm. ","General Trias, Cavite","₱ 2,000/sqm"
"For Sale Residential Farm 50,000 sqm. ","Lipa, Batangas","₱ 4,000/sqm"
"For Sale Agricultural Farm 18,000 sqm. ","Coron, Palawan",₱ 150/sqm
For Sale Residential 280 sqm. ,"Trece Martires, Cavite","₱ 44,632/sqm"
"For Sale Residential Farm 30,000 sqm. ","San Fernando, Pampanga","₱ 2,500/sqm"
"For Sale Residential Farm 6,000 sqm. ","Indang, Cavite","₱ 1,300/sqm"
"For Sale Residential Farm 3,316 sqm. ","Silang, Cavite","₱ 2,201/sqm"
For Sale Residential 300 sqm. ,"Cavinti, Laguna","₱ 16,000/sqm"
For Sale Raw Land 40 sqm. ,"Cebu City, Cebu","₱ 8,000/sqm"
For Sale Memorial Lot 2 sqm. ,"Norzagaray, Bulacan","₱ 32,000/sqm"
"For Sale Agro-Industrial Farm 64,244 sqm. ","San Rafael, Bulacan","₱ 4,514/sqm"
For Sale Residential 284 sqm. ,"Tagaytay, Cavite","₱ 22,183/sqm"
For Sale Residential 500 sqm. ,"General Trias, Cavite","₱ 3,500/sqm"
For Sale Residential 80 sqm. ,"Balilihan, Bohol","₱ 3,500/sqm"
"For Sale Agricultural Farm 4,879 sqm. ","Indang, Cavite","₱ 2,200/sqm"
"For Sale Residential Farm 43,957 sqm. ","Ilagan, Isabela",₱ 200/sqm
For Sale Residential Farm 100 sqm. ,"Morong, Rizal","₱ 4,500/sqm"
For Sale Agricultural Farm 500 sqm. ,"Madridejos, Cebu","₱ 3,700/sqm"
For Sale Residential 197 sqm. ,"Alfonso, Cavite","â‚± 32,842/sqm"
"For Sale Residential 80,000 sqm. ","Cuyapo, Nueva Ecija",â‚± 100/sqm
"For Sale Residential Farm 3,500 sqm. ","Carmen, Cebu",â‚± 200/sqm
"For Sale Agricultural Farm 120,876 sqm. ","Pulilan, Bulacan","â‚± 3,500/sqm"
"For Sale Commercial 36,000 sqm. ","Rosales, Pangasinan","â‚± 2,500/sqm"
For Sale Agricultural Farm 500 sqm. ,"Nasugbu, Batangas","â‚± 3,400/sqm"
"For Sale Commercial 5,917 sqm. ","Tanay, Rizal","â‚± 6,000/sqm"
For Sale Residential 227 sqm. ,"Tagaytay, Cavite","â‚± 12,334/sqm"
For Sale Residential 100 sqm. ,"Cagayan de Oro, Misamis Oriental","â‚± 3,500/sqm"
"For Sale Residential Farm 30,000 sqm. ","Taytay, Palawan",â‚± 16/sqm
For Sale Residential 120 sqm. ,"Sibonga, Cebu","â‚± 6,500/sqm"
"For Sale Residential Farm 50,000 sqm. ","Balayan, Batangas","â‚± 1,000/sqm"
For Sale Residential Farm 96 sqm. ,"Mexico, Pampanga","â‚± 7,000/sqm"
"For Sale Agricultural Farm 35,000 sqm. ","Coron, Palawan",â‚± 150/sqm
"For Sale Agricultural Farm 2,240 sqm. ","Indang, Cavite","â‚± 1,800/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Amadeo, Cavite","â‚± 7,000/sqm"
For Sale Residential 100 sqm. ,"Antipolo, Rizal","â‚± 5,460/sqm"
"For Sale Commercial 3,563 sqm. ","Binangonan, Rizal","â‚± 12,500/sqm"
For Sale Residential Farm 529 sqm. ,"Goa, Camarines Sur","â‚± 7,561/sqm"
"For Sale Residential Farm 1,000 sqm. ","Alfonso, Cavite","â‚± 2,900/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","â‚± 5,800/sqm"
For Sale Residential 150 sqm. ,"Antipolo, Rizal","â‚± 13,333/sqm"
"For Sale Residential 1,000 sqm. ","Tagaytay, Cavite","â‚± 7,000/sqm"
For Sale Residential 150 sqm. ,"San Rafael, Bulacan","â‚± 10,080/sqm"
For Sale Residential 305 sqm. ,"Cainta, Rizal","₱ 20,000/sqm"
"For Sale Residential 3,500 sqm. ","Compostela, Cebu",₱ 100/sqm
"For Sale Residential Farm 10,200 sqm. ","Rizal, Nueva Ecija",₱ 245/sqm
"For Sale Agricultural Farm 10,000 sqm. ","Coron, Palawan",₱ 70/sqm
"For Sale Residential Farm 14,000 sqm. ","Rosario, Batangas","₱ 1,785/sqm"
For Sale Residential 300 sqm. ,"Lipa, Batangas","₱ 2,000/sqm"
"For Sale Residential 1,637 sqm. ","Tanza, Cavite","₱ 4,477/sqm"
"For Sale Residential Farm 29,000 sqm. ","Lipa, Batangas","₱ 2,275/sqm"
"For Sale Others 100,000 sqm. ","Umingan, Pangasinan",₱ 60/sqm
For Sale Residential 200 sqm. ,"Alfonso, Cavite","₱ 8,500/sqm"
"For Sale Agricultural Farm 6,073 sqm. ","Tuao, Cagayan","₱ 1,498/sqm"
"For Sale Agricultural Farm 150,000 sqm. ","Magdalena, Laguna",₱ 700/sqm
For Sale Residential 200 sqm. ,"Jalajala, Rizal","₱ 3,200/sqm"
"For Sale Agricultural Farm 15,000 sqm. ","Cavinti, Laguna",₱ 650/sqm
For Sale Residential 50 sqm. ,"San Jose del Monte, Bulacan","₱ 10,000/sqm"
"For Sale Agricultural Farm 65,000 sqm. ","Del Carmen, Surigao del Norte","₱ 1,384/sqm"
For Sale Residential Farm 100 sqm. ,"Bulakan, Bulacan","₱ 3,200/sqm"
For Sale Residential 40 sqm. ,"San Jose del Monte, Bulacan","₱ 10,000/sqm"
"For Sale Agricultural Farm 11,000 sqm. ","Santa Rosa, Nueva Ecija",₱ 363/sqm
"For Sale Raw Land 14,000 sqm. ","Alfonso, Cavite","₱ 2,500/sqm"
For Sale Residential 280 sqm. ,"Tanza, Cavite","₱ 35,750/sqm"
For Sale Residential 280 sqm. ,"Trece Martires, Cavite","₱ 46,014/sqm"
For Sale Residential 100 sqm. ,"Silang, Cavite","₱ 25,000/sqm"
"For Sale Raw Land 50,000 sqm. ","Pililla, Rizal",₱ 600/sqm
"For Sale Raw Land 50,000 sqm. ","Pililla, Rizal",₱ 600/sqm
"For Sale Raw Land 100,000 sqm. ","Badoc, Ilocos Norte","₱ 1,800/sqm"
For Sale Residential 500 sqm. ,"Pavia, Iloilo","₱ 7,000/sqm"
For Sale Residential Farm 500 sqm. ,"Amadeo, Cavite","₱ 6,500/sqm"
"For Sale Residential Farm 1,052 sqm. ","Calamba, Laguna","₱ 7,851/sqm"
"For Sale Raw Land 162,503 sqm. ","Tanay, Rizal",₱ 400/sqm
For Sale Residential 474 sqm. ,"Lemery, Batangas","₱ 15,000/sqm"
"For Sale Agricultural Farm 21,099 sqm. ","Santa Monica (Sapao), Surigao del Norte",₱ 402/sqm
For Sale Residential 477 sqm. ,"Tagaytay, Cavite","₱ 65,249/sqm"
For Sale Residential 156 sqm. ,"Santa Rosa, Laguna","₱ 70,384/sqm"
For Sale Residential 259 sqm. ,"Antipolo, Rizal","₱ 20,000/sqm"
"For Sale Agricultural Farm 12,000 sqm. ","Calatagan, Batangas","₱ 3,000/sqm"
For Sale Residential 100 sqm. ,"Baras, Rizal","₱ 3,500/sqm"
For Sale Residential 72 sqm. ,"Baras, Rizal","₱ 3,958/sqm"
For Sale Residential 300 sqm. ,"Laurel, Batangas","₱ 14,000/sqm"
"For Sale Commercial 3,303 sqm. ","Binangonan, Rizal","₱ 17,052/sqm"
For Sale Residential 100 sqm. ,"Lipa, Batangas","₱ 10,280/sqm"
"For Sale Residential Farm 15,000 sqm. ","Tuy, Batangas",₱ 300/sqm
For Sale Residential 680 sqm. ,"Cebu City, Cebu","₱ 47,000/sqm"
For Sale Residential Farm 100 sqm. ,"Morong, Rizal","₱ 4,500/sqm"
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 6,000/sqm"
For Sale Others 309 sqm. ,"Tagaytay, Cavite","₱ 22,006/sqm"
For Sale Residential 100 sqm. ,"Pililla, Rizal","₱ 5,798/sqm"
For Sale Residential 168 sqm. ,"Cebu City, Cebu","₱ 35,000/sqm"
"For Sale Residential 1,399 sqm. ","Santa Rosa, Laguna","₱ 69,243/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 5,800/sqm"
For Sale Residential 50 sqm. ,"Bogo, Cebu","₱ 30,000/sqm"
"For Sale Residential Farm 1,336 sqm. ","Liloan, Cebu","₱ 11,000/sqm"
For Sale Residential 468 sqm. ,"Cebu City, Cebu","₱ 21,000/sqm"
"For Sale Agricultural Farm 18,730 sqm. ","Santa Rosa, Nueva Ecija",₱ 500/sqm
For Sale Residential 371 sqm. ,"Tagaytay, Cavite","₱ 55,304/sqm"
For Sale Residential Farm 315 sqm. ,"Antipolo, Rizal","₱ 25,079/sqm"
"For Sale Residential Farm 10,239 sqm. ","Dauin, Negros Oriental",₱ 700/sqm
For Sale Residential Farm 835 sqm. ,"Antipolo, Rizal","₱ 20,000/sqm"
"For Sale Residential Farm 330,472 sqm. ","Mexico, Pampanga","₱ 1,000/sqm"
"For Sale Agricultural Farm 2,030 sqm. ","Pilar, Surigao del Norte","₱ 3,000/sqm"
For Sale Residential 245 sqm. ,"Biñan, Laguna","₱ 29,163/sqm"
For Sale Residential 500 sqm. ,"Lipa, Batangas","₱ 22,400/sqm"
For Sale Residential 150 sqm. ,"Victoria, Laguna","₱ 13,282/sqm"
For Sale Residential 250 sqm. ,"Biñan, Laguna","₱ 28,000/sqm"
"For Sale Residential Farm 10,000 sqm. ","Nasugbu, Batangas",₱ 420/sqm
For Sale Residential 197 sqm. ,"Alfonso, Cavite","₱ 32,741/sqm"
For Sale Residential 50 sqm. ,"Bogo, Cebu","₱ 4,008/sqm"
"For Sale Raw Land 1,000 sqm. ","Alfonso, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 57,000 sqm. ","Pili, Camarines Sur",₱ 210/sqm
"For Sale Raw Land 1,500 sqm. ","Alfonso, Cavite","₱ 3,500/sqm"
For Sale Residential 495 sqm. ,"Antipolo, Rizal","₱ 5,000/sqm"
For Sale Residential 350 sqm. ,"Antipolo, Rizal","₱ 5,000/sqm"
For Sale Commercial 374 sqm. ,"Marilao, Bulacan","₱ 110,887/sqm"
"For Sale Commercial 10,000 sqm. ","San Pablo, Laguna","₱ 5,000/sqm"
For Sale Commercial 757 sqm. ,"Quezon City / QC, Metro Manila","₱ 79,260/sqm"
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 3,500/sqm"
For Sale Residential 565 sqm. ,"Mendez (Mendez-Nuñez), Cavite","₱ 5,500/sqm"
For Sale Residential 100 sqm. ,"Magdalena, Laguna","₱ 4,500/sqm"
"For Sale Others 940,000 sqm. ","Labrador, Pangasinan",₱ 200/sqm
For Sale Residential 100 sqm. ,"Norzagaray, Bulacan","₱ 2,500/sqm"
"For Sale Agricultural Farm 57,000 sqm. ","Pili, Camarines Sur",₱ 210/sqm
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 3,300/sqm"
For Sale Residential 921 sqm. ,"Santa Rosa, Laguna","₱ 24,972/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 2,900/sqm"
For Sale Residential 180 sqm. ,"Baliuag, Bulacan","₱ 10,032/sqm"
For Sale Residential 79 sqm. ,"Bocaue, Bulacan","₱ 13,500/sqm"
For Sale Residential 250 sqm. ,"Calaca, Batangas","₱ 5,500/sqm"
"For Sale Agricultural Farm 28,699 sqm. ","Rosario, La Union","₱ 1,000/sqm"
"For Sale Industrial 1,000 sqm. ","Gubat, Sorsogon","₱ 8,500/sqm"
For Sale Residential 100 sqm. ,"Silang, Cavite","₱ 19,500/sqm"
"For Sale Residential 1,163 sqm. ","Nasugbu, Batangas","₱ 29,500/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 3,800/sqm"
"For Sale Residential Farm 16,386 sqm. ","Bacong, Negros Oriental","₱ 1,500/sqm"
For Sale Residential 225 sqm. ,"Baliuag, Bulacan","₱ 10,818/sqm"
"For Sale Commercial 50,000 sqm. ","Calatagan, Batangas","₱ 2,000/sqm"
For Sale Residential 150 sqm. ,"Guiguinto, Bulacan","₱ 13,000/sqm"
"For Sale Agro-Industrial Farm 103,000 sqm. ","Mangatarem, Pangasinan",₱ 378/sqm
For Sale Residential 225 sqm. ,"Baliuag, Bulacan","₱ 10,818/sqm"
"For Sale Commercial 50,000 sqm. ","Calatagan, Batangas","₱ 2,000/sqm"
For Sale Residential 150 sqm. ,"Guiguinto, Bulacan","₱ 13,000/sqm"
For Sale Residential 251 sqm. ,"Alfonso, Cavite","₱ 20,000/sqm"
For Sale Residential Farm 50 sqm. ,"Jalajala, Rizal","₱ 4,000/sqm"
For Sale Residential 80 sqm. ,"Tanay, Rizal","₱ 4,500/sqm"
"For Sale Residential Farm 52,000 sqm. ","Paniqui, Tarlac",₱ 288/sqm
For Sale Residential 130 sqm. ,"Angeles, Pampanga","₱ 27,446/sqm"
For Sale Residential Farm 250 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
For Sale Agricultural Farm 300 sqm. ,"Mambajao, Camiguin","₱ 1,500/sqm"
For Sale Residential Farm 150 sqm. ,"Mendez (Mendez-Nuñez), Cavite","₱ 6,400/sqm"
For Sale Agricultural Farm 300 sqm. ,"Alfonso, Cavite","₱ 4,800/sqm"
For Sale Residential 280 sqm. ,"Trece Martires, Cavite","₱ 44,633/sqm"
For Sale Residential 300 sqm. ,"San Juan, Batangas","₱ 20,000/sqm"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 4,800/sqm"
"For Sale Agricultural Farm 430,000 sqm. ","Umingan, Pangasinan",₱ 200/sqm
For Sale Residential Farm 250 sqm. ,"Amadeo, Cavite","₱ 6,000/sqm"
"For Sale Agricultural Farm 5,000 sqm. ","Plaridel, Bulacan","₱ 2,600/sqm"
"For Sale Agricultural Farm 125,000 sqm. ","Tanjay, Negros Oriental",₱ 850/sqm
For Sale Residential Farm 300 sqm. ,"Matanao, Davao del Sur","₱ 1,333/sqm"
For Sale Residential Farm 373 sqm. ,"Tagaytay, Cavite","₱ 6,000/sqm"
"For Sale Residential Farm 1,022 sqm. ","Trece Martires, Cavite","₱ 2,935/sqm"
"For Sale Agricultural Farm 69,000 sqm. ","Talisay, Batangas",₱ 600/sqm
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 4,800/sqm"
"For Sale Residential Farm 2,194 sqm. ","Indang, Cavite","₱ 2,800/sqm"
"For Sale Agro-Industrial Farm 2,600 sqm. ","Villasis, Pangasinan","₱ 1,500/sqm"
"For Sale Agricultural Farm 16,000 sqm. ","Ivisan, Capiz",₱ 390/sqm
"For Sale Agricultural Farm 630,000 sqm. ","Ivisan, Capiz",₱ 1/sqm
"For Sale Agricultural Farm 3,599 sqm. ","General Trias, Cavite","₱ 11,947/sqm"
"For Sale Agricultural Farm 12,588 sqm. ","Indang, Cavite","₱ 4,000/sqm"
For Sale Residential Farm 480 sqm. ,"Tarlac City, Tarlac","₱ 2,100/sqm"
For Sale Residential Farm 300 sqm. ,"Matanao, Davao del Sur","₱ 1,333/sqm"
For Sale Residential 269 sqm. ,"Tagaytay, Cavite","₱ 21,000/sqm"
For Sale Residential 267 sqm. ,"Alfonso, Cavite","₱ 20,000/sqm"
"For Sale Agricultural Farm 69,000 sqm. ","Talisay, Batangas",₱ 600/sqm
